chunk_start,chunk_end,query_start_utc,query_end_utc,node,market,query_name,version,filename,source_url,status,attempts,size_bytes,sha256,raw_rows,lmp_rows,desired_days_present,csv_members,downloaded_at_utc_iso,error
2025-08-11,2025-08-17,20250811T00:00-0000,20250819T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250811_20250817.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250811T00:00-0000&enddatetime=20250819T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9946,bcab0fa7c1299792a70541b1e295f86309e6f57ce529df58c8c6955d7656c10f,960,192,7,1,2026-08-11T16:44:53.249Z,
2025-08-18,2025-08-24,20250818T00:00-0000,20250826T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250818_20250824.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250818T00:00-0000&enddatetime=20250826T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9743,6760f82b9906a4e7713254b4c5dac2d2a5da3a5fa5afa25aa8aa1ed3fbb77e24,960,192,7,1,2026-08-11T16:45:07.457Z,
2025-08-25,2025-08-31,20250825T00:00-0000,20250902T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250825_20250831.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250825T00:00-0000&enddatetime=20250902T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9980,c0ac8c6213b0f739a88ac25e1d71781076140ff6defaf3d4eadc15600f2b3a43,960,192,7,1,2026-08-11T16:45:14.965Z,
2025-09-01,2025-09-07,20250901T00:00-0000,20250909T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250901_20250907.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250901T00:00-0000&enddatetime=20250909T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10110,0baf834dc88be9477930dcf7e0b32f065e6fee90d252ca0e0901054355ca9c00,960,192,7,1,2026-08-11T16:45:21.906Z,
2025-09-08,2025-09-14,20250908T00:00-0000,20250916T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250908_20250914.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250908T00:00-0000&enddatetime=20250916T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9957,6a1f8517d6ff200ae8cdf16dc3c8dc86897944b6ee73dac56f11ccb59f3dbde8,960,192,7,1,2026-08-11T16:45:29.301Z,
2025-09-15,2025-09-21,20250915T00:00-0000,20250923T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250915_20250921.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250915T00:00-0000&enddatetime=20250923T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9983,ae95e225a822c1c59c550c09aab0a15e763512509879112650d442c8e346a955,960,192,7,1,2026-08-11T16:45:39.817Z,
2025-09-22,2025-09-28,20250922T00:00-0000,20250930T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250922_20250928.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250922T00:00-0000&enddatetime=20250930T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9971,d3e18f6a1c6b2fec3a2cae8ec5e2c7c673d1aac1a4b65763413b72b35c9f4ef8,960,192,7,1,2026-08-11T16:45:47.153Z,
2025-09-29,2025-10-05,20250929T00:00-0000,20251007T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20250929_20251005.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20250929T00:00-0000&enddatetime=20251007T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10116,be4221b91fa9454be378fbf1f33ca767648cd87dc0bb7fe56059efcf61aff35d,960,192,7,1,2026-08-11T16:45:55.250Z,
2025-10-06,2025-10-12,20251006T00:00-0000,20251014T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251006_20251012.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251006T00:00-0000&enddatetime=20251014T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,9997,8be4477df5b3a8083f3cdd7b3f3ee8672b46eb7cdffe41a6c372e2e886c61fa9,960,192,7,1,2026-08-11T16:46:03.766Z,
2025-10-13,2025-10-19,20251013T00:00-0000,20251021T00:00-0000,TH_SP15_GEN-APND,DAM,PRC_LMP,12,SP15_DAM_LMP_20251013_20251019.zip,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_LMP&startdatetime=20251013T00:00-0000&enddatetime=20251021T00:00-0000&version=12&market_run_id=DAM&node=TH_SP15_GEN-APND&resultformat=6,downloaded,1,10072,fc5707acddadeed5096c5057b275d64ee43a91f254740d1bd4cb7fcef886a7fd,960,192,7,1,2026-08-11T16:46:11.454Z,
