source_file,official_query_url,downloaded_at,download_timestamp_timezone,timestamp_basis,uncompressed_bytes,sha256
20240801_20240901_PRC_FUEL_N_20260811_10_43_44_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20240801T00%3A00-0000&enddatetime=20240901T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:43:44,NOT_RECORDED,embedded in retained source filename,12662479,37fc64d766582f8919f1fe6e2e1bb4165af6fcb3fb56f2c1181be19561730777
20240901_20241001_PRC_FUEL_N_20260811_10_43_54_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20240901T00%3A00-0000&enddatetime=20241001T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:43:54,NOT_RECORDED,embedded in retained source filename,12248554,8eb76caa9e4536d45bb1fdc96e5d4c6af452ec59841e49834b328ad56d163a64
20241001_20241101_PRC_FUEL_N_20260811_10_44_04_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20241001T00%3A00-0000&enddatetime=20241101T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:44:04,NOT_RECORDED,embedded in retained source filename,12657463,03c278e905f457298dc6f5e85ddfdbe076960b4a4f8511f1478fe70227645bbf
20241101_20241201_PRC_FUEL_N_20260811_10_44_14_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20241101T00%3A00-0000&enddatetime=20241201T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:44:14,NOT_RECORDED,embedded in retained source filename,12275951,1261955617ca444f004b86822f6d30b1dbef938729345d3ee2d5d1484a6ef1a5
20241201_20250101_PRC_FUEL_N_20260811_10_44_23_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20241201T00%3A00-0000&enddatetime=20250101T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:44:23,NOT_RECORDED,embedded in retained source filename,12717880,c4099fc9e4970c59a60178f4539f0ff13317b0f8e75b946a1e9d169a855ee10e
20250101_20250201_PRC_FUEL_N_20260811_10_44_33_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250101T00%3A00-0000&enddatetime=20250201T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:44:33,NOT_RECORDED,embedded in retained source filename,12723688,c0e4763d9a4c42e306613dd59e8b77b8b7c6eb2ca7235319a9876d5a71d90f06
20250201_20250301_PRC_FUEL_N_20260811_10_44_43_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250201T00%3A00-0000&enddatetime=20250301T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:44:43,NOT_RECORDED,embedded in retained source filename,11487556,a68037aa9b097e6c5bbdd2fc79358fc0d4f572ef5dc715893cda08092423f913
20250301_20250401_PRC_FUEL_N_20260811_10_44_54_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250301T00%3A00-0000&enddatetime=20250401T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:44:54,NOT_RECORDED,embedded in retained source filename,12751697,2a0070a1950b14a0fecdfe779b9da0313027825bfb0df96921717df546c28105
20250401_20250501_PRC_FUEL_N_20260811_10_45_04_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250401T00%3A00-0000&enddatetime=20250501T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:45:04,NOT_RECORDED,embedded in retained source filename,12379798,2ae2fef5ebd6177626a95aa9c3a20bc437af83604867fa8a0f117abcbcd533c6
20250501_20250601_PRC_FUEL_N_20260811_10_45_16_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250501T00%3A00-0000&enddatetime=20250601T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:45:16,NOT_RECORDED,embedded in retained source filename,12789025,28b524356c7ca1719b4cd110e026bcc9c68843d3d4eb05f0f2a4b5a7d96ccefe
20250601_20250701_PRC_FUEL_N_20260811_10_45_25_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250601T00%3A00-0000&enddatetime=20250701T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:45:25,NOT_RECORDED,embedded in retained source filename,12379366,b2f2a16c795fbb0e97ab811c5770a8aba62277eb8d53ca137cbc1f5be2d2dd60
20250701_20250801_PRC_FUEL_N_20260811_10_45_34_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250701T00%3A00-0000&enddatetime=20250801T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:45:34,NOT_RECORDED,embedded in retained source filename,12793633,eb8810b9266df9e321f729d3c4c9eb1f4ee667d19cc2732290d177dde2627be5
20250801_20250901_PRC_FUEL_N_20260811_10_45_45_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250801T00%3A00-0000&enddatetime=20250901T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:45:45,NOT_RECORDED,embedded in retained source filename,12794881,84ede56638b9e1d0dc30949eea095fb609f62d03223476b827bdf9116a04a08e
20250901_20251001_PRC_FUEL_N_20260811_10_45_58_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20250901T00%3A00-0000&enddatetime=20251001T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:45:58,NOT_RECORDED,embedded in retained source filename,12443956,4a36dc0cae241e75a46a5e7bacc300704684751b58fa35cb200f8070c662dfa5
20251001_20251101_PRC_FUEL_N_20260811_10_46_07_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20251001T00%3A00-0000&enddatetime=20251101T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:46:07,NOT_RECORDED,embedded in retained source filename,12863554,34830cdc70bcbc356b41c717d8368da39ec0bc75d8f78b593653e68765d7e8e4
20251101_20251201_PRC_FUEL_N_20260811_10_46_23_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20251101T00%3A00-0000&enddatetime=20251201T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:46:23,NOT_RECORDED,embedded in retained source filename,12465705,6dda21b0ec15cac6fa2f75d1820644bfce54cf54843988e3323894a7302492e4
20251201_20260101_PRC_FUEL_N_20260811_10_46_33_v1.csv,https://oasis.caiso.com/oasisapi/SingleZip?queryname=PRC_FUEL&startdatetime=20251201T00%3A00-0000&enddatetime=20260101T00%3A00-0000&version=1&resultformat=6,2026-08-11T10:46:33,NOT_RECORDED,embedded in retained source filename,12865882,12042e53c1f186f7314d89508734d88d86c9c23309e07ef92d927b7bf619690f
