source_file,report_type,official_collection_url,download_completed_date,exact_download_time,package_member_timestamp,package_member_timezone,uncompressed_bytes,sha256
CAISO_Monthly_Renewables_Performance_Report_2024_07_July.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,172276,4b253c50a5619dc404bcf54c88e085069cfacdb326c47cceb5b522854a8be7bf
CAISO_Monthly_Renewables_Performance_Report_2024_08_August.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,172745,8cb4670b998cfc004a5fa7f0aeca7eea6a8ac57db6afbbda872b68019f921e7b
CAISO_Monthly_Renewables_Performance_Report_2024_09_September.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,173140,f5b0b6edf3bd782468c8dec6ef8bf39c8a1267add6a457637d7190621d31a3f1
CAISO_Monthly_Renewables_Performance_Report_2024_10_October.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,173663,31488fc0f68553ac6a6fb9c8413d97461c980fd82b6ff875c3c4462b3b493c91
CAISO_Monthly_Renewables_Performance_Report_2024_11_November.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,173992,5a9e0bfa06245ec08a2bc3f471f9397ae75f637c199c6b7da897f808a81edce6
CAISO_Monthly_Renewables_Performance_Report_2024_12_December.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,174554,72338fad5b895dc7f029d73a7f922efdcb5c12342e7a2c4ad87caf5b85e4270b
CAISO_Monthly_Renewables_Performance_Report_2025_01_January.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,175006,34c8f5d45617759acaec7c4ce58d77bce940425566d852e90358dbecfe36aabe
CAISO_Monthly_Renewables_Performance_Report_2025_02_February.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,175277,24b0f6316a80d5a7b62e013be81e4c47f5fa1c3aab00b7366013f55ccb02b00b
CAISO_Monthly_Renewables_Performance_Report_2025_03_March.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,175925,cb497a982164745e32732181ca489fc2213bad6cc6f7a9f6005632ebce20179c
CAISO_Monthly_Renewables_Performance_Report_2025_04_April.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,176353,e866d37281ae50d1c268bc233043f4919078616004660b9666f416dd3acfc240
CAISO_Monthly_Renewables_Performance_Report_2025_05_May.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,176911,6320a83cbfba304c5ceebd977c0bbac892b5ce64a78e253281d6dd627dc595b1
CAISO_Monthly_Renewables_Performance_Report_2025_06_June.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,177313,cb1ff8ce6a47319b3364b5c80e039491ec5d535f885ab4c4facad60200e9dcf8
CAISO_Monthly_Renewables_Performance_Report_2025_07_July.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,177721,d39c0ef58c617900622e1908cb07ddfa0895219585b8c7b171b8e60db56295bc
CAISO_Monthly_Renewables_Performance_Report_2025_08_August.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,178509,a16c1d178794d304d3c243f591ceef84a6d00e1a73c047a81dc0a8fd4b9b027b
CAISO_Monthly_Renewables_Performance_Report_2025_09_September.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,178963,af3bb60a0032fb5efc63a7793314993e019150e3ce275a60843750707e2bf408
CAISO_Monthly_Renewables_Performance_Report_2025_10_October.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,179465,1e9853b4029f9d4d2c12cf4fb723bd293db82b9cef0823ee64048dfd61e12bf1
CAISO_Monthly_Renewables_Performance_Report_2025_11_November.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,179790,1cd8b0dc0736227c51e4ed78880ed88a49fa38b2b6539cef129e2945e85e8af5
CAISO_Monthly_Renewables_Performance_Report_2025_12_December.html,monthly renewables report,https://www.caiso.com/library/monthly-renewables-performance-report,2026-08-11,NOT_RECORDED,2026-08-11T23:02:56,NOT_STORED_BY_ZIP,180429,71bd26a8c06749b77067b962f3cf8c94f138d0c3e2c88a952e4e2a5ffbb72c4a
