date,midday_mean_lmp_usd_per_mwh,evening_mean_lmp_usd_per_mwh,evening_minus_midday_spread_usd_per_mwh,midday_interval_count,evening_interval_count,total_lmp_interval_count,negative_lmp_interval_count,minimum_lmp_usd_per_mwh,maximum_lmp_usd_per_mwh,data_quality_flag
2025-01-20,14.41315,75.98444,61.57128,6,4,24,0,1.92000,85.00000,OK
2025-01-21,27.88214,79.06863,51.18650,6,4,24,0,20.24174,90.53346,OK
2025-01-22,19.43703,57.45995,38.02292,6,4,24,0,14.13619,70.00000,OK
2025-01-23,12.38491,59.62675,47.24185,6,4,24,0,5.54898,66.38508,OK
2025-01-24,16.97053,56.07102,39.10049,6,4,24,0,12.41899,62.90664,OK
2025-01-25,20.52795,50.85442,30.32647,6,4,24,0,13.99961,52.34461,OK
2025-01-26,34.64257,59.50451,24.86194,6,4,24,0,28.79808,60.07022,OK
2025-01-27,37.07745,63.15555,26.07810,6,4,24,0,31.31443,67.63118,OK
2025-01-28,21.06105,60.89979,39.83873,6,4,24,0,15.62707,75.29357,OK
2025-01-29,9.71236,55.61184,45.89948,6,4,24,0,2.81432,62.93432,OK
2025-01-30,2.93770,55.71519,52.77750,6,4,24,2,-1.85985,58.09329,OK
2025-01-31,10.91245,47.05915,36.14670,6,4,24,0,5.00000,58.16472,OK
2025-02-01,0.07567,45.49159,45.41592,6,4,24,3,-4.94768,48.48044,OK
2025-02-02,-4.87026,46.11897,50.98923,6,4,24,7,-6.80000,47.31491,OK
2025-02-03,12.66794,50.73148,38.06355,6,4,24,0,11.02767,55.34401,OK
2025-02-04,1.14878,54.98707,53.83829,6,4,24,4,-1.67275,59.33821,OK
2025-02-05,0.77057,50.71021,49.93964,6,4,24,2,-6.61069,53.83104,OK
2025-02-06,-4.53558,52.97235,57.50792,6,4,24,6,-6.96278,57.79511,OK
2025-02-07,-3.17679,47.03364,50.21042,6,4,24,5,-5.93256,54.21804,OK
2025-02-08,-19.75257,47.33361,67.08618,6,4,24,8,-21.40346,48.11601,OK
2025-02-09,-6.68937,55.58319,62.27256,6,4,24,6,-9.80693,56.71069,OK
2025-02-10,-7.16812,49.93827,57.10638,6,4,24,7,-8.82737,64.63745,OK
2025-02-11,-12.20076,50.90292,63.10368,6,4,24,7,-15.39000,55.01000,OK
2025-02-12,42.50173,65.58988,23.08815,6,4,24,0,40.10316,68.46108,OK
2025-02-13,43.97744,58.33337,14.35592,6,4,24,0,42.21186,63.10133,OK
2025-02-14,5.66659,49.64903,43.98244,6,4,24,0,1.36665,57.03579,OK
2025-02-15,-3.77971,56.30217,60.08188,6,4,24,6,-8.69143,56.57502,OK
2025-02-16,-3.98988,54.27226,58.26214,6,4,24,6,-5.90943,57.14071,OK
2025-02-17,-9.16175,53.93736,63.09912,6,4,24,7,-11.82708,55.19010,OK
2025-02-18,-5.67645,62.79143,68.46788,6,4,24,7,-7.83496,64.62073,OK
2025-02-19,-5.76803,55.92840,61.69643,6,4,24,6,-9.06348,63.96313,OK
2025-02-20,-4.10972,63.67871,67.78843,6,4,24,6,-6.02879,66.08388,OK
2025-02-21,-8.82275,55.87802,64.70077,6,4,24,7,-10.44973,64.16898,OK
2025-02-22,-21.37235,49.18348,70.55583,6,4,24,8,-23.70235,51.81432,OK
2025-02-23,-29.78895,39.99021,69.77915,6,4,24,9,-32.60276,41.85101,OK
2025-02-24,-19.50387,44.72057,64.22444,6,4,24,8,-21.35138,50.43277,OK
2025-02-25,-15.87135,42.20343,58.07478,6,4,24,8,-18.54000,47.17174,OK
2025-02-26,-9.63120,53.18566,62.81685,6,4,24,8,-12.05047,56.58637,OK
2025-02-27,-6.39382,54.73618,61.13000,6,4,24,7,-8.40913,58.52826,OK
2025-02-28,-4.74675,50.54191,55.28866,6,4,24,7,-6.66708,54.58486,OK
2025-03-01,-11.58504,44.10408,55.68912,6,4,24,7,-13.00805,48.69806,OK
2025-03-02,-10.83405,45.12422,55.95828,6,4,24,7,-13.37674,46.71252,OK
2025-03-03,-8.35682,47.23021,55.58703,6,4,24,7,-10.23308,48.60040,OK
2025-03-04,-9.01863,54.89526,63.91390,6,4,24,8,-9.93527,59.07655,OK
2025-03-05,42.02465,62.04994,20.02529,6,4,24,0,39.76979,70.01090,OK
2025-03-06,4.60957,63.61280,59.00323,6,4,24,0,1.66621,65.86415,OK
2025-03-07,-10.00430,55.85356,65.85786,6,4,24,7,-11.51085,60.05801,OK
2025-03-08,-18.86556,57.41193,76.27748,6,4,24,8,-20.25550,59.54328,OK
2025-03-09,-20.99015,42.53871,63.52885,6,4,23,8,-21.68171,73.54630,OK
2025-03-10,-11.25024,53.78097,65.03122,6,4,24,8,-12.53243,74.52082,OK
2025-03-11,29.30423,63.25378,33.94955,6,4,24,0,26.20039,71.96090,OK
2025-03-12,15.49173,56.64974,41.15802,6,4,24,0,12.98753,66.35620,OK
2025-03-13,10.67941,50.19654,39.51713,6,4,24,0,1.58934,62.22948,OK
2025-03-14,36.05314,53.59210,17.53897,6,4,24,0,30.31049,71.01196,OK
2025-03-15,-37.51553,32.87416,70.38969,6,4,24,10,-40.35326,51.33618,OK
2025-03-16,-25.62524,41.58882,67.21406,6,4,24,8,-27.59883,51.85567,OK
2025-03-17,-5.10817,40.99923,46.10740,6,4,24,6,-7.48199,63.57416,OK
2025-03-18,-35.38264,33.27096,68.65359,6,4,24,9,-36.82097,59.78263,OK
2025-03-19,-27.61358,46.06020,73.67378,6,4,24,8,-30.23513,74.47672,OK
2025-03-20,-30.75942,31.84116,62.60058,6,4,24,9,-32.88938,60.52534,OK
2025-03-21,-24.29873,27.58954,51.88827,6,4,24,9,-27.44044,59.98442,OK
2025-03-22,-32.83949,23.75697,56.59646,6,4,24,10,-37.31025,42.95871,OK
2025-03-23,-34.01692,34.89068,68.90761,6,4,24,10,-36.08332,50.94334,OK
2025-03-24,-12.25665,47.19871,59.45536,6,4,24,8,-13.35060,59.90784,OK
2025-03-25,-6.57181,46.16287,52.73468,6,4,24,7,-7.92353,55.95598,OK
2025-03-26,-10.23187,22.67904,32.91092,6,4,24,9,-12.10213,44.80000,OK
2025-03-27,-17.77736,17.04391,34.82127,6,4,24,9,-20.00537,33.96474,OK
2025-03-28,-16.85001,13.34947,30.19949,6,4,24,9,-21.64685,25.32880,OK
2025-03-29,-36.17413,9.29331,45.46744,6,4,24,10,-39.41538,19.44000,OK
2025-03-30,-30.76385,14.15459,44.91844,6,4,24,10,-32.26640,25.17572,OK
2025-03-31,-4.43564,23.25252,27.68817,6,4,24,6,-7.96138,35.68828,OK
2025-04-01,-10.24074,18.16788,28.40862,6,4,24,9,-11.57919,33.96582,OK
2025-04-02,-13.20134,27.77767,40.97901,6,4,24,8,-15.83438,39.68660,OK
2025-04-03,-9.73145,29.81061,39.54206,6,4,24,8,-11.91655,47.59748,OK
2025-04-04,-10.01941,31.44419,41.46360,6,4,24,9,-11.22055,57.85217,OK
2025-04-05,-23.87966,27.59587,51.47553,6,4,24,10,-27.41858,50.35780,OK
2025-04-06,-20.89325,27.41365,48.30690,6,4,24,10,-21.59996,45.24338,OK
2025-04-07,-13.97321,28.12530,42.09851,6,4,24,10,-15.56024,44.79965,OK
2025-04-08,-14.16673,28.56070,42.72742,6,4,24,10,-14.54499,43.42429,OK
2025-04-09,-10.16992,39.16289,49.33281,6,4,24,9,-11.38331,52.15353,OK
2025-04-10,-5.46240,36.24424,41.70665,6,4,24,9,-7.89352,48.76519,OK
2025-04-11,-3.40057,32.29955,35.70012,6,4,24,9,-10.40205,47.07936,OK
2025-04-12,-12.38163,25.18011,37.56174,6,4,24,10,-14.21220,35.25563,OK
2025-04-13,-10.67507,31.38799,42.06306,6,4,24,9,-11.57917,42.96200,OK
2025-04-14,5.76039,43.70799,37.94760,6,4,24,0,4.01992,52.74630,OK
2025-04-15,4.02598,37.92254,33.89655,6,4,24,0,3.60221,49.29172,OK
2025-04-16,-2.78029,27.12132,29.90161,6,4,24,6,-5.29522,40.42204,OK
2025-04-17,-1.70066,23.52702,25.22768,6,4,24,7,-5.40241,36.43550,OK
2025-04-18,-6.59081,23.42224,30.01306,6,4,24,9,-7.36131,35.64534,OK
2025-04-19,-21.48725,17.57345,39.06070,6,4,24,10,-23.11450,36.24248,OK
2025-04-20,-23.55415,22.71467,46.26881,6,4,24,10,-24.50727,38.58851,OK
2025-04-21,-6.66342,32.99947,39.66289,6,4,24,9,-13.18604,47.73456,OK
2025-04-22,-9.04575,35.82711,44.87286,6,4,24,9,-11.28284,49.95981,OK
2025-04-23,-12.67967,32.32928,45.00895,6,4,24,10,-15.57393,50.25834,OK
2025-04-24,-5.59450,34.96198,40.55648,6,4,24,9,-9.52478,45.68924,OK
2025-04-25,-5.65316,29.62236,35.27552,6,4,24,9,-6.18462,42.66257,OK
2025-04-26,-2.29416,29.25754,31.55170,6,4,24,6,-4.20000,40.74816,OK
2025-04-27,-24.96378,20.89739,45.86118,6,4,24,11,-25.87421,39.63589,OK
2025-04-28,-6.30527,29.43905,35.74432,6,4,24,10,-7.91072,43.38064,OK
2025-04-29,-9.74273,28.16523,37.90796,6,4,24,10,-10.57473,47.84128,OK
2025-04-30,1.95954,35.48234,33.52280,6,4,24,0,1.28040,44.47135,OK
2025-05-01,6.58170,38.39383,31.81213,6,4,24,0,6.09148,44.83565,OK
2025-05-02,0.66779,32.01987,31.35208,6,4,24,2,-0.44236,40.43827,OK
