,coefficient,standard_error,t_statistic,p_value,ci_95_low,ci_95_high
Intercept,5.9048,6.6588,0.8868,0.3752,-7.1463,18.9558
d_battery,-21.0172,17.0941,-1.2295,0.2189,-54.521,12.4866
d_demand_gap,4.1297,2.2048,1.873,0.0611,-0.1917,8.451
d_solar_drop,0.844,2.4762,0.3409,0.7332,-4.0093,5.6974
d_gas,10.0384,2.3803,4.2173,0.0,5.3732,14.7037
