,model,battery_variable,coefficient,standard_error,t_statistic,p_value,ci_95_low,ci_95_high,observations
0,Full baseline,battery_gw,0.6447,8.0124,0.0805,0.9359,-15.0593,16.3487,975.0
1,Add FRSCE3 tariff-break indicator,battery_gw,4.7914,8.2264,0.5824,0.5603,-11.3319,20.9148,975.0
