,model,battery_variable,coefficient,standard_error,t_statistic,p_value,ci_95_low,ci_95_high,observations
0,Primary timing,battery_gw,0.6447,8.0124,0.0805,0.9359,-15.0593,16.3487,975.0
1,Additional one-month lag,battery_lag1_gw,2.2714,6.5238,0.3482,0.7277,-10.515,15.0578,944.0
